length_numeric,estimated_mass_kg,metabolic_demand,habitat_modification_potential,specialization_index,region_diversity_score,temporal_span,extinction_proximity,trophic_impact,diet,type,geological_period,lived_in,start_time_mya,end_time_mya,mid_time_mya,ecosystem_impact_score,name,impact_category
8.0,18101.933598375617,18101.933598375617,24.0,3,0.6451612903225806,10.0,-124.0,2.0,herbivorous,sauropod,Early Jurassic,South Africa,199.0,189.0,194.0,12.267787012845599,aardonyx,Low Impact
9.0,24300.0,36450.0,22.5,4,0.9032258064516129,4.0,-5.0,3.0,carnivorous,large theropod,Late Cretaceous,Argentina,74.0,70.0,72.0,34.194487037688,abelisaurus,Moderate Impact
6.0,8818.163074019441,8818.163074019441,12.0,3,1.0,13.0,-5.0,2.0,herbivorous,ceratopsian,Late Cretaceous,USA,83.0,70.0,76.5,7.745831489653369,achelousaurus,Low Impact
5.0,5590.169943749474,8385.254915624211,12.5,4,0.9354838709677419,15.0,-19.0,3.0,carnivorous,large theropod,Late Cretaceous,Mongolia,99.0,84.0,91.5,29.497816682245997,achillobator,Low Impact
12.0,49883.06325798367,74824.59488697551,30.0,4,1.0,10.0,-40.0,3.0,carnivorous,large theropod,Early Cretaceous,USA,115.0,105.0,110.0,38.55374744986121,acrocanthosaurus,Moderate Impact
15.0,87142.12528966687,87142.12528966687,45.0,3,0.25806451612903225,5.0,-28.0,2.0,herbivorous,sauropod,Late Cretaceous,Egypt,98.0,93.0,95.5,23.095101913093295,aegyptosaurus,Low Impact
9.0,24300.0,36450.0,22.5,4,0.7419354838709677,11.0,-56.0,3.0,carnivorous,large theropod,Early Cretaceous,Niger,132.0,121.0,126.5,34.194487037688,afrovenator,Moderate Impact
1.5,275.56759606310754,275.56759606310754,2.25,2,0.967741935483871,10.0,-94.0,2.0,herbivorous,euornithopod,Late Jurassic,China,169.0,159.0,164.0,2.349907735627417,agilisaurus,Low Impact
21.0,202091.58814755257,202091.58814755257,63.0,3,1.0,5.0,0.0,2.0,herbivorous,sauropod,Late Cretaceous,USA,70.0,65.0,67.5,35.453949228341465,alamosaurus,Moderate Impact
7.0,12964.181424216495,12964.181424216495,14.0,3,1.0,5.0,-10.0,2.0,herbivorous,ceratopsian,Late Cretaceous,USA,80.0,75.0,77.5,8.642924830219897,albertaceratops,Low Impact
9.0,24300.0,36450.0,22.5,4,0.8387096774193549,2.0,-9.0,3.0,carnivorous,large theropod,Late Cretaceous,Canada,76.0,74.0,75.0,34.194487037688,albertosaurus,Moderate Impact
5.0,5590.169943749474,8385.254915624211,12.5,4,0.9354838709677419,20.0,-5.0,3.0,carnivorous,large theropod,Late Cretaceous,Mongolia,90.0,70.0,80.0,29.497816682245997,alectrosaurus,Low Impact
6.0,8818.163074019441,13227.244611029162,15.0,4,0.9354838709677419,6.0,0.0,3.0,carnivorous,large theropod,Late Cretaceous,Mongolia,71.0,65.0,68.0,30.566981857398645,alioramus,Moderate Impact
12.0,49883.06325798367,74824.59488697551,30.0,4,1.0,12.0,-79.0,3.0,carnivorous,large theropod,Late Jurassic,USA,156.0,144.0,150.0,38.55374744986121,allosaurus,Moderate Impact
2.0,565.685424949238,848.5281374238571,2.0,3,0.9032258064516129,4.0,-20.0,3.0,carnivorous,small theropod,Late Cretaceous,Argentina,89.0,85.0,87.0,23.958811994815942,alvarezsaurus,Low Impact
12.0,49883.06325798367,49883.06325798367,36.0,3,0.9032258064516129,5.0,-62.0,2.0,herbivorous,sauropod,Early Cretaceous,Argentina,132.0,127.0,129.5,18.03146311742461,amargasaurus,Low Impact
5.0,5590.169943749474,5590.169943749474,15.0,3,1.0,15.0,-115.0,2.0,herbivorous,sauropod,Early Jurassic,USA,195.0,180.0,187.5,8.570052079215587,ammosaurus,Low Impact
15.0,87142.12528966687,87142.12528966687,45.0,3,0.5483870967741935,6.0,0.0,2.0,herbivorous,sauropod,Late Cretaceous,France,71.0,65.0,68.0,23.095101913093295,ampelosaurus,Low Impact
15.0,87142.12528966687,87142.12528966687,45.0,3,0.9032258064516129,8.0,-104.0,2.0,herbivorous,sauropod,Mid Jurassic,Argentina,177.0,169.0,173.0,23.095101913093295,amygdalodon,Low Impact
6.0,8818.163074019441,8818.163074019441,12.0,3,0.8387096774193549,4.0,-5.0,2.0,herbivorous,ceratopsian,Late Cretaceous,Canada,74.0,70.0,72.0,7.745831489653369,anchiceratops,Low Impact
2.0,565.685424949238,565.685424949238,6.0,3,1.0,0.0,-125.0,2.0,herbivorous,sauropod,Early Jurassic,USA,190.0,190.0,190.0,5.285570476594319,anchisaurus,Low Impact
7.0,12964.181424216495,12964.181424216495,15.400000000000002,3,1.0,7.0,-2.0,2.0,herbivorous,armoured dinosaur,Late Cretaceous,USA,74.0,67.0,70.5,9.11070525981417,ankylosaurus,Low Impact
3.5,2291.7651493990393,3437.6477240985587,8.75,4,0.9354838709677419,19.0,0.0,3.0,carnivorous,large theropod,Late Cretaceous,Mongolia,84.0,65.0,74.5,28.0058896321789,anserimimus,Low Impact
18.0,137461.55826266482,137461.55826266482,54.0,3,0.03225806451612903,19.0,0.0,2.0,herbivorous,sauropod,Late Cretaceous,Uruguay,84.0,65.0,74.5,28.879595601146423,antarctosaurus,Low Impact
21.0,202091.58814755257,202091.58814755257,63.0,3,1.0,9.0,-80.0,2.0,herbivorous,sauropod,Late Jurassic,USA,154.0,145.0,149.5,35.453949228341465,apatosaurus,Moderate Impact
18.0,137461.55826266482,137461.55826266482,54.0,3,0.6451612903225806,11.0,-56.0,2.0,herbivorous,sauropod,Early Cretaceous,Spain,132.0,121.0,126.5,28.879595601146423,aragosaurus,Low Impact
8.0,18101.933598375617,18101.933598375617,12.0,2,0.25806451612903225,10.0,-19.0,2.0,herbivorous,euornithopod,Late Cretaceous,Kazakhstan,94.0,84.0,89.0,6.591573806799459,aralosaurus,Low Impact
1.3,192.68964684175432,192.68964684175432,2.6,3,0.967741935483871,22.0,-34.0,2.0,herbivorous,ceratopsian,Early Cretaceous,China,121.0,99.0,110.0,4.128945139222208,archaeoceratops,Low Impact
0.5,17.67766952966369,26.516504294495533,0.5,3,0.8064516129032258,0.0,-82.0,3.0,carnivorous,small theropod,Late Jurassic,Germany,147.0,147.0,147.0,23.417919780550584,archaeopteryx,Low Impact
3.5,2291.7651493990393,3437.6477240985587,3.5,3,0.25806451612903225,25.0,-5.0,3.0,carnivorous,small theropod,Late Cretaceous,Uzbekistan,95.0,70.0,82.5,24.585046354533713,archaeornithomimus,Low Impact
35.0,724719.773429703,724719.773429703,105.0,3,0.9032258064516129,0.0,-25.0,2.0,herbivorous,sauropod,Late Cretaceous,Argentina,90.0,90.0,90.0,78.33333333333331,argentinosaurus,High Impact
6.0,8818.163074019441,8818.163074019441,12.0,3,0.8387096774193549,5.0,-2.0,2.0,herbivorous,ceratopsian,Late Cretaceous,Canada,72.0,67.0,69.5,7.745831489653369,arrhinoceratops,Low Impact
3.0,1558.8457268119896,1558.8457268119896,4.5,2,0.7419354838709677,24.0,-32.0,2.0,herbivorous,euornithopod,Early Cretaceous,Australia,121.0,97.0,109.0,3.1725270414177027,atlascopcosaurus,Low Impact
5.0,5590.169943749474,8385.254915624211,12.5,4,0.9032258064516129,13.0,-6.0,3.0,carnivorous,large theropod,Late Cretaceous,Argentina,84.0,71.0,77.5,29.497816682245997,aucasaurus,Low Impact
15.0,87142.12528966687,87142.12528966687,45.0,3,0.7419354838709677,13.0,-34.0,2.0,herbivorous,sauropod,Early Cretaceous,Australia,112.0,99.0,105.5,23.095101913093295,austrosaurus,Low Impact
2.3,802.2682219806538,802.2682219806538,4.6,3,1.0,5.0,-10.0,2.0,herbivorous,ceratopsian,Late Cretaceous,USA,80.0,75.0,77.5,4.830848012004288,avaceratops,Low Impact
1.5,275.56759606310754,330.68111527572904,1.5,1,0.9354838709677419,5.0,-10.0,2.5,omnivorous,small theropod,Late Cretaceous,Mongolia,80.0,75.0,77.5,10.434545623577456,avimimus,Low Impact
6.0,8818.163074019441,8818.163074019441,9.0,2,0.967741935483871,13.0,-6.0,2.0,herbivorous,euornithopod,Late Cretaceous,China,84.0,71.0,77.5,5.076778188141834,bactrosaurus,Low Impact
1.0,100.0,100.0,2.0,3,0.9354838709677419,5.0,-15.0,2.0,herbivorous,ceratopsian,Late Cretaceous,Mongolia,85.0,80.0,82.5,3.923351894359363,bagaceratops,Low Impact
1.0,100.0,150.0,1.0,3,1.0,13.0,-6.0,3.0,carnivorous,small theropod,Late Cretaceous,USA,84.0,71.0,77.5,23.59094783183537,bambiraptor,Low Impact
14.0,73336.48478076926,73336.48478076926,42.0,3,0.5483870967741935,15.0,-105.0,2.0,herbivorous,sauropod,Early Jurassic,India,185.0,170.0,177.5,21.330725932918387,barapasaurus,Low Impact
24.0,282181.2183686221,282181.2183686221,72.0,3,1.0,10.0,-80.0,2.0,herbivorous,sauropod,Late Jurassic,USA,155.0,145.0,150.0,42.881580958181516,barosaurus,Moderate Impact
10.0,31622.776601683792,47434.16490252569,25.0,4,0.8709677419354839,0.0,-60.0,3.0,carnivorous,large theropod,Early Cretaceous,United Kingdom,125.0,125.0,125.0,35.560287406445354,baryonyx,Moderate Impact
5.0,5590.169943749474,8385.254915624211,12.5,4,0.8709677419354839,10.0,-67.0,3.0,carnivorous,large theropod,Early Cretaceous,United Kingdom,142.0,132.0,137.0,29.497816682245997,becklespinax,Low Impact
2.0,565.685424949238,678.8225099390856,2.0,1,0.967741935483871,6.0,-56.0,2.5,omnivorous,small theropod,Early Cretaceous,China,127.0,121.0,124.0,10.619624442673738,beipiaosaurus,Low Impact
5.0,5590.169943749474,5590.169943749474,15.0,3,0.967741935483871,21.0,-94.0,2.0,herbivorous,sauropod,Mid Jurassic,China,180.0,159.0,169.5,8.570052079215587,bellusaurus,Low Impact
1.5,275.56759606310754,413.3513940946613,1.5,3,0.9354838709677419,19.0,0.0,3.0,carnivorous,small theropod,Late Cretaceous,Mongolia,84.0,65.0,74.5,23.77073077690267,borogovia,Low Impact
30.0,492950.30175464944,492950.30175464944,90.0,3,1.0,15.0,-75.0,2.0,herbivorous,sauropod,Late Jurassic,USA,155.0,140.0,147.5,60.52910212155389,brachiosaurus,High Impact
7.0,12964.181424216495,12964.181424216495,10.5,2,1.0,1.0,-23.0,2.0,herbivorous,euornithopod,Late Cretaceous,USA,89.0,88.0,88.5,5.806807089567551,brachylophosaurus,Low Impact
10.0,31622.776601683792,31622.776601683792,30.0,3,0.9032258064516129,0.0,-85.0,2.0,herbivorous,sauropod,Mid Jurassic,Argentina,150.0,150.0,150.0,15.018830497362453,brachytrachelopan,Low Impact
1.3,192.68964684175432,289.0344702626315,1.3,3,0.9032258064516129,9.0,-25.0,3.0,carnivorous,small theropod,Late Cretaceous,Argentina,99.0,90.0,94.5,23.697901138848138,buitreraptor,Low Impact
23.0,253699.48758324285,253699.48758324285,69.0,3,1.0,10.0,-75.0,2.0,herbivorous,sauropod,Late Jurassic,USA,150.0,140.0,145.0,40.30717197630898,camarasaurus,Moderate Impact
5.0,5590.169943749474,5590.169943749474,7.5,2,1.0,10.0,-80.0,2.0,herbivorous,euornithopod,Late Jurassic,USA,155.0,145.0,150.0,4.3974188254367474,camptosaurus,Low Impact
15.0,87142.12528966687,130713.18793450031,37.5,4,0.03225806451612903,4.0,-29.0,3.0,carnivorous,large theropod,Late Cretaceous,North Africa,98.0,94.0,96.0,43.75884310117314,carcharodontosaurus,Moderate Impact
7.6,15923.333118414621,23884.99967762193,19.0,4,0.9032258064516129,0.0,-5.0,3.0,carnivorous,large theropod,Late Cretaceous,Argentina,70.0,70.0,70.0,32.41821164209217,carnotaurus,Moderate Impact
1.0,100.0,120.0,1.0,1,0.967741935483871,3.0,-57.0,2.5,omnivorous,small theropod,Early Cretaceous,China,125.0,122.0,123.5,10.256579609047456,caudipteryx,Low Impact
10.0,31622.776601683792,31622.776601683792,22.0,3,1.0,15.0,-62.0,2.0,herbivorous,armoured dinosaur,Early Cretaceous,USA,142.0,127.0,134.5,12.345799471109471,cedarpelta,Low Impact
6.0,8818.163074019441,8818.163074019441,12.0,3,0.8387096774193549,2.0,-9.0,2.0,herbivorous,ceratopsian,Late Cretaceous,Canada,76.0,74.0,75.0,7.745831489653369,centrosaurus,Low Impact
6.0,8818.163074019441,13227.244611029162,15.0,4,1.0,5.0,-83.0,3.0,carnivorous,large theropod,Late Jurassic,USA,153.0,148.0,150.5,30.566981857398645,ceratosaurus,Moderate Impact
15.0,87142.12528966687,87142.12528966687,45.0,3,0.8709677419354839,15.0,-95.0,2.0,herbivorous,sauropod,Mid Jurassic,United Kingdom,175.0,160.0,167.5,23.095101913093295,cetiosauriscus,Low Impact
18.0,137461.55826266482,137461.55826266482,54.0,3,0.8709677419354839,10.0,-95.0,2.0,herbivorous,sauropod,Mid Jurassic,United Kingdom,170.0,160.0,165.0,28.879595601146423,cetiosaurus,Low Impact
1.1,126.90587062858836,126.90587062858836,2.2,3,0.967741935483871,7.0,-80.0,2.0,herbivorous,ceratopsian,Late Jurassic,China,152.0,145.0,148.5,3.99166271424327,chaoyangsaurus,Low Impact
5.0,5590.169943749474,5590.169943749474,10.0,3,0.8387096774193549,2.0,-9.0,2.0,herbivorous,ceratopsian,Late Cretaceous,Canada,76.0,74.0,75.0,6.899407687807472,chasmosaurus,Low Impact
4.0,3200.0,4800.0,4.0,3,1.0,17.0,-145.0,3.0,carnivorous,small theropod,Late Triassic,USA,227.0,210.0,218.5,24.81790533998628,chindesaurus,Low Impact
11.0,40131.159963300335,40131.159963300335,33.0,3,0.967741935483871,17.0,-77.0,2.0,herbivorous,sauropod,Late Jurassic,China,159.0,142.0,150.5,16.490829350731822,chinshakiangosaurus,Low Impact
1.7,376.8098990207131,452.1718788248557,1.7,1,0.8387096774193549,12.0,-2.0,2.5,omnivorous,small theropod,Late Jurassic,Canada,79.0,67.0,73.0,10.50765787021713,chirostenotes,Low Impact
23.0,253699.48758324285,253699.48758324285,69.0,3,0.9032258064516129,13.0,-34.0,2.0,herbivorous,sauropod,Early Cretaceous,Argentina,112.0,99.0,105.5,40.30717197630898,chubutisaurus,Moderate Impact
4.0,3200.0,3200.0,8.8,3,0.967741935483871,17.0,-77.0,2.0,herbivorous,armoured dinosaur,Late Jurassic,China,159.0,142.0,150.5,6.366529851494077,chungkingosaurus,Low Impact
2.1,639.0697145069543,766.8836574083451,2.1,1,0.9354838709677419,6.0,-10.0,2.5,omnivorous,small theropod,Late Cretaceous,Mongolia,81.0,75.0,78.0,10.65759400487083,citipati,Low Impact
2.0,565.685424949238,848.5281374238571,2.0,3,0.45161290322580644,35.0,-125.0,3.0,carnivorous,small theropod,Late Triassic,Zimbabwe,225.0,190.0,207.5,23.958811994815942,coelophysis,Low Impact
1.8,434.69161482595916,652.0374222389387,1.8,3,1.0,10.0,-80.0,3.0,carnivorous,small theropod,Late Jurassic,USA,155.0,145.0,150.0,23.8824967371154,coelurus,Low Impact
4.0,3200.0,3840.0,12.0,2,0.9032258064516129,11.0,-145.0,2.5,omnivorous,sauropod,Late Triassic,Argentina,221.0,210.0,215.5,15.791153237026197,coloradisaurus,Low Impact
0.65,34.063038986561374,51.094558479842064,0.65,3,0.8064516129032258,5.0,-75.0,3.0,carnivorous,small theropod,Late Jurassic,Germany,145.0,140.0,142.5,23.46922610478585,compsognathus,Low Impact
1.5,275.56759606310754,413.3513940946613,1.5,3,0.9354838709677419,5.0,-11.0,3.0,carnivorous,small theropod,Late Cretaceous,Mongolia,81.0,76.0,78.5,23.77073077690267,conchoraptor,Low Impact
0.25,3.125,4.6875,0.25,3,0.967741935483871,6.0,-56.0,3.0,carnivorous,small theropod,Early Cretaceous,China,127.0,121.0,124.0,23.333333333333332,confuciusornis,Low Impact
10.0,31622.776601683792,31622.776601683792,15.0,2,1.0,2.0,-9.0,2.0,herbivorous,euornithopod,Late Cretaceous,USA,76.0,74.0,75.0,8.340230656471443,corythosaurus,Low Impact
8.0,18101.933598375617,27152.900397563426,20.0,4,0.03225806451612903,0.0,-105.0,3.0,carnivorous,large theropod,Early Jurassic,Antarctica,170.0,170.0,170.0,32.91016316952535,cryolophosaurus,Moderate Impact
6.0,8818.163074019441,8818.163074019441,13.200000000000001,3,0.8709677419354839,4.0,-85.0,2.0,herbivorous,armoured dinosaur,Late Jurassic,United Kingdom,154.0,150.0,152.0,8.146786143591317,dacentrurus,Low Impact
9.0,24300.0,36450.0,22.5,4,0.8387096774193549,2.0,-9.0,3.0,carnivorous,large theropod,Late Cretaceous,Canada,76.0,74.0,75.0,34.194487037688,daspletosaurus,Moderate Impact
15.0,87142.12528966687,87142.12528966687,45.0,3,0.967741935483871,0.0,-105.0,2.0,herbivorous,sauropod,Mid Jurassic,China,170.0,170.0,170.0,23.095101913093295,datousaurus,Low Impact
10.0,31622.776601683792,37947.33192202055,25.0,2,0.9354838709677419,4.0,-1.0,2.5,omnivorous,large theropod,Late Cretaceous,Mongolia,70.0,66.0,68.0,21.899693292817414,deinocheirus,Low Impact
3.0,1558.8457268119896,2338.2685902179846,3.0,3,1.0,10.0,-45.0,3.0,carnivorous,small theropod,Early Cretaceous,USA,120.0,110.0,115.0,24.36488760739505,deinonychus,Low Impact
8.1,18672.933355528265,28009.400033292397,20.25,4,0.45161290322580644,5.0,-29.0,3.0,carnivorous,large theropod,Late Cretaceous,Morocco,99.0,94.0,96.5,33.035059877521974,deltadromeus,Moderate Impact
20.0,178885.43819998318,178885.43819998318,60.0,3,0.6451612903225806,15.0,-70.0,2.0,herbivorous,sauropod,Late Jurassic,Tanzania,150.0,135.0,142.5,33.170720969757184,dicraeosaurus,Moderate Impact
6.0,8818.163074019441,13227.244611029162,15.0,4,1.0,0.0,-125.0,3.0,carnivorous,large theropod,Early Jurassic,USA,190.0,190.0,190.0,30.566981857398645,dilophosaurus,Moderate Impact
26.0,344693.71911887225,344693.71911887225,78.0,3,1.0,10.0,-80.0,2.0,herbivorous,sauropod,Late Jurassic,USA,155.0,145.0,150.0,48.336672921228995,diplodocus,Moderate Impact
1.8,434.69161482595916,652.0374222389387,1.8,3,1.0,2.0,-9.0,3.0,carnivorous,small theropod,Late Cretaceous,USA,76.0,74.0,75.0,23.8824967371154,dromaeosaurus,Low Impact
3.5,2291.7651493990393,2750.118179278847,8.75,2,0.8387096774193549,4.0,-5.0,2.5,omnivorous,large theropod,Late Cretaceous,Canada,74.0,70.0,72.0,14.648839062990811,dromiceiomimus,Low Impact
4.0,3200.0,3200.0,6.0,2,1.0,15.0,-75.0,2.0,herbivorous,euornithopod,Late Jurassic,USA,155.0,140.0,147.5,3.7643023256388646,dryosaurus,Low Impact
6.4,10362.151436839747,15543.227155259621,16.0,4,1.0,19.0,0.0,3.0,carnivorous,large theropod,Late Cretaceous,USA,84.0,65.0,74.5,31.012960676007022,dryptosaurus,Moderate Impact
7.5,15404.696929832795,23107.04539474919,18.75,4,0.5483870967741935,5.0,-99.0,3.0,carnivorous,large theropod,Late Jurassic,France,169.0,164.0,166.5,32.29710826710307,dubreuillosaurus,Moderate Impact
4.0,3200.0,3200.0,8.8,3,0.8387096774193549,2.0,-9.0,2.0,herbivorous,armoured dinosaur,Late Cretaceous,Canada,76.0,74.0,75.0,6.366529851494077,edmontonia,Low Impact
13.0,60933.816555341415,60933.816555341415,19.5,2,0.8387096774193549,11.0,0.0,2.0,herbivorous,euornithopod,Late Cretaceous,Canada,76.0,65.0,70.5,11.461605895443157,edmontosaurus,Low Impact
6.0,8818.163074019441,8818.163074019441,12.0,3,1.0,0.0,-9.0,2.0,herbivorous,ceratopsian,Late Cretaceous,USA,74.0,74.0,74.0,7.745831489653369,einiosaurus,Low Impact
6.2,9571.48281093374,14357.22421640061,15.5,4,0.6451612903225806,3.0,-86.0,3.0,carnivorous,large theropod,Late Jurassic,Tanzania,154.0,151.0,152.5,30.788618448538664,elaphrosaurus,Moderate Impact
2.0,565.685424949238,565.685424949238,4.4,3,0.8064516129032258,10.0,-115.0,2.0,herbivorous,armoured dinosaur,Mid Jurassic,Germany,190.0,180.0,185.0,4.750964271343722,emausaurus,Low Impact
5.0,5590.169943749474,5590.169943749474,7.5,2,1.0,5.0,-29.0,2.0,herbivorous,euornithopod,Late Cretaceous,USA,99.0,94.0,96.5,4.3974188254367474,eolambia,Low Impact
1.0,100.0,150.0,1.0,3,0.9032258064516129,0.0,-163.0,3.0,carnivorous,small theropod,Late Triassic,Argentina,228.0,228.0,228.0,23.59094783183537,eoraptor,Low Impact
5.0,5590.169943749474,8385.254915624211,12.5,4,0.8709677419354839,6.0,-56.0,3.0,carnivorous,large theropod,Early Cretaceous,United Kingdom,127.0,121.0,124.0,29.497816682245997,eotyrannus,Low Impact
5.0,5590.169943749474,5590.169943749474,7.5,2,0.967741935483871,28.0,-34.0,2.0,herbivorous,euornithopod,Early Cretaceous,China,127.0,99.0,113.0,4.3974188254367474,equijubus,Low Impact
3.4,2131.5586785261153,2557.870414231338,3.4,1,0.9354838709677419,10.0,-24.0,2.5,omnivorous,small theropod,Late Cretaceous,Mongolia,99.0,89.0,94.0,11.184635145430972,erlikosaurus,Low Impact
